Town,Median_household_income,Median_rent,Crime_index,X,Y
Salisbury,84141,1168,17,41.6921799,-72.0996602
Scotland,77344,683,8,41.3851323,-73.0835288
Seymour,77465,1072,139,41.8607607,-73.4492128
Sharon,72083,870,17,41.3045153,-73.139041
Shelton,88369,1301,424,41.5811909,-73.5014683
Sherman,115442,2576,5,41.877282,-72.8290758
Simsbury,109823,1241,169,41.9927806,-72.4536297
Somers,95139,1160,47,41.8380902,-72.5778358
South Windsor,94217,1128,460,41.476862,-73.2300815
Southbury,76896,1494,159,41.606877,-72.8787842
Southington,81285,1042,769,41.6355702,-72.0775268
Sprague,67076,1135,9,41.9838819,-72.3075749
Stafford,62859,951,55,41.0798566,-73.5460279
Stamford,77221,1704,2281,41.7012,-71.8159882
Sterling,71696,961,22,41.3637981,-71.9113287
Stonington,81673,1016,259,41.2054753,-73.128152
Stratford,66451,1224,1207,41.9999149,-72.6787509
Suffield,94610,1290,114,41.6648907,-73.0958729
Thomaston,73679,936,127,41.9902867,-71.8670243
Thompson,67519,990,40,41.882488,-72.3590679
Tolland,107290,1571,1257,41.8342549,-73.1315201
Torrington,55460,896,614,41.2728914,-73.2118988
Trumbull,108554,1782,903,42.005783,-72.158567
Union,84405,1700,4,41.8375231,-72.4591228
Vernon,60556,1058,388,41.5791925,-71.8312276
Voluntown,75086,1083,14,41.461989,-72.8055114
Wallingford,75533,1081,655,41.7358548,-73.3428314
Warren,100250,2181,5,41.6561747,-73.3101747
Washington,77125,1336,16,41.5585001,-73.0366845
Waterbury,41136,924,4685,41.3518196,-72.1468924
Waterford,75181,1143,441,41.6172439,-73.1143625
Watertown,78767,966,332,41.7665678,-72.7549435
West Hartford,84092,1258,1928,41.2721217,-72.9674977
West Haven,49993,1121,1297,41.3036945,-72.4780168
Westbrook,78417,1217,48,41.2281028,-73.3667574
Weston,208078,2560,41,41.1220019,-73.3434064
Westport,151771,1836,304,41.7024837,-72.6693014
Wethersfield,78008,1069,419,41.8972671,-72.2518477
Willington,73384,1104,30,41.2065319,-73.4376073
Wilton,175019,2415,147,41.9228687,-73.1099267
Winchester,60163,1002,132,41.7024192,-72.1700811
Windham,41019,812,1011,41.9277901,-72.6516158
Windsor,79244,1195,819,41.8710365,-72.6750825
Windsor Locks,67222,1139,206,41.5963055,-72.9696244
Wolcott,83317,1119,283,41.3635379,-73.0038921
Woodbridge,134045,1216,85,41.5616321,-73.2060959
Woodbury,84868,1172,36,41.9662084,-72.0227864
Woodstock,70927,1069,25,,
